date,amount,customer_id,transaction_type,transactio_id,loan_id
15.10.21,-375277,566,Payout,P1,855
18.11.21,-180188,759,Payout,P2,866
08.10.21,-293228,831,Payout,P3,876
14.12.21,-141758,278,Payout,P4,886
17.11.21,-383014,194,Payout,P5,887
06.10.21,-380313,70,Payout,P6,888
09.12.21,-489201,3,Payout,P7,920
05.11.21,-453877,33,Payout,P8,921
15.10.21,-260251,624,Payout,P9,944
05.12.21,-145833,317,Payout,P10,945
15.11.21,-21869,193,Payout,P11,968
11.11.21,-496757,369,Payout,P12,969
09.11.18,-104073,682,Payout,P13,1
24.10.18,-259508,795,Payout,P14,2
01.09.18,-422421,397,Payout,P15,3
16.10.18,-438466,496,Payout,P16,4
01.11.18,-377698,148,Payout,P17,5
07.10.18,-264493,924,Payout,P18,6
10.12.21,-331597,649,Payout,P19,856
21.12.21,-342289,13,Payout,P20,867
28.11.21,-63163,146,Payout,P21,877
05.11.21,-221562,344,Payout,P22,889
15.12.21,-63867,817,Payout,P23,890
03.11.21,-257315,283,Payout,P24,891
06.12.21,-30411,402,Payout,P25,922
18.12.21,-393058,263,Payout,P26,923
09.11.21,-268610,937,Payout,P27,946
05.10.21,-288781,398,Payout,P28,947
03.11.21,-458879,50,Payout,P29,970
29.10.21,-418813,78,Payout,P30,971
09.11.18,-71733,425,Payout,P31,7
27.09.18,-303393,460,Payout,P32,8
09.10.18,-128056,828,Payout,P33,9
08.11.18,-388116,820,Payout,P34,10
22.11.18,-204159,188,Payout,P35,11
06.10.18,-322650,530,Payout,P36,12
01.10.18,-11590,578,Payout,P37,13
29.11.18,-450962,563,Payout,P38,14
17.09.18,-469371,850,Payout,P39,15
25.11.18,-150180,465,Payout,P40,16
24.09.18,-35464,184,Payout,P41,17
28.09.18,-401257,454,Payout,P42,18
31.10.18,-410826,312,Payout,P43,19
06.12.18,-167528,64,Payout,P44,20
28.11.21,-194540,608,Payout,P45,807
13.10.21,-324463,156,Payout,P46,813
23.11.21,-81478,393,Payout,P47,814
19.09.21,-306474,665,Payout,P48,822
30.09.21,-493331,648,Payout,P49,827
31.10.21,-382228,413,Payout,P50,832
12.12.21,-451837,705,Payout,P51,857
03.10.21,-74987,142,Payout,P52,868
19.10.21,-126247,826,Payout,P53,878
18.10.21,-436951,643,Payout,P54,892
20.10.21,-130070,323,Payout,P55,893
08.11.21,-68201,951,Payout,P56,894
06.12.21,-439768,717,Payout,P57,924
08.11.21,-169965,200,Payout,P58,925
17.11.21,-227509,856,Payout,P59,948
09.12.21,-25428,875,Payout,P60,949
26.10.21,-393969,938,Payout,P61,972
29.11.21,-68016,998,Payout,P62,973
23.10.21,-155543,838,Payout,P63,837
03.11.21,-289168,87,Payout,P64,838
15.10.21,-183719,290,Payout,P65,839
18.11.18,-204065,154,Payout,P66,21
20.11.18,-215423,932,Payout,P67,22
27.12.18,-342291,313,Payout,P68,23
27.10.18,-390423,130,Payout,P69,24
19.11.18,-350121,347,Payout,P70,25
24.12.18,-30730,367,Payout,P71,26
07.11.18,-415153,929,Payout,P72,27
04.11.18,-473689,349,Payout,P73,28
31.12.18,-71706,670,Payout,P74,29
14.12.18,-33428,889,Payout,P75,30
